MA_100058g0010	AT4G32850
MA_10243490g0010	AT2G17140
MA_10243939g0010	AT1G11290
MA_102449g0020	AT1G68930
MA_10245227g0010	AT3G51895
MA_10251635g0010	AT1G35660
MA_10254g0020	AT4G22010
MA_10257270g0010	AT5G14640
MA_10257351g0010	AT4G02750
MA_10257685g0010	AT4G02750
MA_10263488g0010	AT5G46050
MA_10267817g0010	AT4G10770
MA_102714g0010	AT1G50460
MA_10273116g0010	AT4G02750
MA_102736g0010	AT2G44100
MA_10276622g0010	AT1G30220
MA_102783g0010	AT5G10560
MA_102800g0010	AT1G68560
MA_10280323g0010	AT3G20500
MA_10282308g0010	AT5G22800
MA_102823g0010	AT4G02750
MA_10285571g0010	AT1G56070
MA_10287590g0010	AT3G12770
MA_10288325g0010	AT4G24740
MA_10290598g0010	AT5G13840
MA_102966g0010	AT2G43020
MA_103022g0010	AT2G01970
MA_103030g0010	AT4G00990
MA_10308598g0010	AT5G20480
MA_10310622g0010	AT1G50480
MA_10316972g0010	AT3G20660
MA_10320012g0010	AT1G50480
MA_10326002g0010	AT4G05320
MA_103336g0010	AT5G49890
MA_10334041g0020	AT5G54910
MA_103380g0010	AT3G24000
MA_103401g0010	AT5G62620
MA_103524g0010	AT4G26200
MA_10353668g0010	AT5G63180
MA_10355730g0010	AT3G12770
MA_103581g0010	AT1G70300
MA_103595g0010	AT1G04920
MA_10359605g0010	AT5G13930
MA_10359605g0020	AT3G61740
MA_10360330g0010	AT1G29900
MA_10363858g0010	AT1G80660
MA_10369814g0010	AT1G11290
MA_103711g0020	AT4G00340
MA_103776g0010	AT2G47160
MA_10379445g0010	AT3G14920
MA_103858g0010	AT5G53890
MA_10386237g0010	AT1G29900
MA_103898g0010	AT4G31850
MA_103906g0010	AT5G55950
MA_103912g0010	AT1G08230
MA_10394370g0010	AT1G26560
MA_103970g0010	AT5G65560
MA_10399g0020	AT3G01040
MA_104021g0010	AT4G00900
MA_104034g0010	AT5G66750
MA_104172g0010	AT1G11910
MA_104187g0020	AT4G17770
MA_104203g0010	AT1G71830
MA_10425791g0020	AT1G15520
MA_10425815g0010	AT3G59770
MA_10425891g0010	AT3G02260
MA_10425950g0010	AT4G19170
MA_10425957g0010	AT2G19540
MA_10426006g0010	AT2G46520
MA_10426021g0010	AT5G04060
MA_10426023g0020	AT4G38350
MA_10426049g0010	AT1G79750
MA_10426057g0010	AT2G40360
MA_10426077g0010	AT5G14170
MA_10426094g0010	AT4G26850
MA_10426096g0010	AT1G01090
MA_10426097g0020	AT3G02065
MA_10426100g0010	AT2G46340
MA_10426101g0010	AT5G42920
MA_10426113g0010	AT3G28715
MA_10426142g0010	AT5G10560
MA_10426147g0010	AT3G13790
MA_10426159g0010	AT1G20510
MA_10426186g0010	AT5G28840
MA_10426237g0010	AT4G02060
MA_10426255g0010	AT5G16750
MA_10426261g0020	AT1G68930
MA_10426264g0020	AT5G13930
MA_10426265g0010	AT1G53300
MA_10426269g0010	AT5G26820
MA_10426288g0010	AT3G23640
MA_10426306g0010	AT5G65720
MA_10426313g0010	AT2G47500
MA_10426337g0010	AT1G05200
MA_10426353g0010	AT1G70630
MA_10426363g0020	AT1G14610
MA_10426444g0010	AT4G13650
MA_10426482g0010	AT2G37010
MA_10426489g0020	AT5G48150
MA_10426496g0010	AT5G32470
MA_10426514g0020	AT1G21700
MA_10426519g0010	AT2G27100
MA_10426544g0010	AT3G04120
MA_10426564g0030	AT5G01410
MA_10426596g0010	AT1G30000
MA_10426600g0010	AT2G28840
MA_10426616g0010	AT1G73710
MA_10426626g0010	AT1G71870
MA_10426650g0010	AT1G34300
MA_10426674g0010	AT1G69420
MA_10426680g0010	AT1G28440
MA_10426691g0010	AT5G08310
MA_10426701g0030	AT2G13610
MA_10426739g0010	AT1G73450
MA_10426746g0010	AT1G52630
MA_10426754g0010	AT2G47060
MA_10426758g0020	AT1G56070
MA_10426777g0010	AT2G07690
MA_10426781g0010	AT2G36380
MA_10426814g0010	AT1G17070
MA_10426814g0020	AT1G17070
MA_10426823g0010	AT3G25800
MA_10426889g0010	AT4G15560
MA_10426923g0010	AT5G47750
MA_10426933g0010	AT1G71350
MA_10426946g0030	AT4G27110
MA_10426949g0010	AT4G22130
MA_10426953g0010	AT1G64660
MA_10426974g0020	AT1G06490
MA_10426974g0030	AT1G05570
MA_10427000g0010	AT4G14160
MA_10427013g0010	AT5G19990
MA_10427030g0010	AT4G02680
MA_10427033g0010	AT5G05390
MA_10427039g0010	AT5G50920
MA_10427065g0010	AT5G01930
MA_10427079g0030	AT2G02040
MA_10427118g0010	AT4G19380
MA_10427170g0010	AT4G02280
MA_10427206g0010	AT5G18610
MA_10427209g0020	AT1G64060
MA_10427218g0010	AT2G19900
MA_10427274g0010	AT5G63110
MA_10427280g0030	AT2G43020
MA_10427352g0010	AT2G17930
MA_10427364g0010	AT2G32730
MA_10427391g0010	AT3G47700
MA_10427393g0010	AT4G22010
MA_10427399g0010	AT5G22060
MA_10427427g0010	AT4G36360
MA_10427428g0010	AT5G06120
MA_10427446g0010	AT2G15820
MA_10427450g0010	AT4G10710
MA_10427459g0010	AT3G26100
MA_10427468g0010	AT1G09010
MA_10427484g0010	AT1G52150
MA_10427502g0010	AT3G13920
MA_10427506g0010	AT1G55020
MA_10427506g0020	AT3G22400
MA_10427561g0010	AT1G15520
MA_10427588g0010	AT3G57060
MA_10427606g0010	AT5G17920
MA_10427625g0010	AT2G22240
MA_10427630g0010	AT1G07670
MA_10427661g0030	AT5G09810
MA_10427678g0010	AT3G12360
MA_10427681g0010	AT5G67360
MA_10427683g0010	AT1G59870
MA_10427700g0010	AT2G05320
MA_10427706g0010	AT3G58610
MA_10427729g0010	AT5G67530
MA_10427749g0010	AT4G38500
MA_10427773g0010	AT2G33150
MA_10427804g0010	AT5G63930
MA_10427818g0010	AT3G47730
MA_10427820g0020	AT3G02130
MA_10427853g0010	AT1G71990
MA_10427871g0010	AT4G09140
MA_10427891g0010	AT1G20620
MA_10427936g0010	AT4G21960
MA_10427943g0010	AT3G13772
MA_10427947g0020	AT4G28390
MA_10427968g0010	AT5G61790
MA_10427984g0010	AT5G54380
MA_10427988g0010	AT4G08810
MA_10428008g0010	AT2G20860
MA_10428020g0010	AT1G24764
MA_10428033g0010	AT1G12480
MA_10428037g0010	AT1G53140
MA_10428103g0010	AT4G24820
MA_10428112g0010	AT1G33390
MA_10428116g0010	AT5G12080
MA_10428138g0010	AT4G39050
MA_10428183g0020	AT5G06530
MA_10428189g0010	AT1G18900
MA_10428223g0010	AT1G10210
MA_10428226g0010	AT2G23740
MA_10428243g0010	AT1G80300
MA_10428266g0010	AT1G52570
MA_10428271g0010	AT3G51770
MA_10428291g0010	AT4G08920
MA_10428353g0020	AT5G46110
MA_10428377g0020	AT4G38600
MA_10428389g0010	AT5G01920
MA_10428390g0010	AT1G62870
MA_10428396g0010	AT4G19170
MA_10428400g0010	AT2G28470
MA_10428405g0010	AT1G62020
MA_10428421g0010	AT4G02750
MA_10428464g0010	AT3G07990
MA_10428495g0020	AT4G08180
MA_10428505g0020	AT3G14440
MA_10428543g0010	AT4G00660
MA_10428568g0010	AT2G36530
MA_10428603g0020	AT5G63180
MA_10428611g0010	AT1G12780
MA_10428636g0010	AT4G02750
MA_10428640g0010	AT1G63440
MA_10428650g0020	ATMG01360
MA_10428694g0010	AT1G36370
MA_10428715g0010	AT1G53750
MA_10428719g0010	AT1G50480
MA_10428719g0020	AT1G50480
MA_10428725g0010	AT3G07890
MA_10428752g0010	AT4G32551
MA_10428769g0010	AT5G06600
MA_10428839g0010	AT1G74960
MA_10428871g0010	AT4G35300
MA_10428881g0010	AT3G10230
MA_10428894g0010	AT1G34270
MA_10428897g0020	AT1G71870
MA_10428900g0010	AT2G32000
MA_10428924g0010	AT5G01720
MA_10428927g0010	AT5G05390
MA_10428927g0020	AT5G05390
MA_10428947g0010	AT4G02500
MA_10428957g0010	AT5G10240
MA_10428962g0010	AT1G71830
MA_10428988g0010	AT2G39940
MA_10429029g0010	AT5G53550
MA_10429043g0020	AT3G57430
MA_10429049g0010	AT2G38110
MA_10429054g0030	AT1G62020
MA_10429061g0010	AT2G41720
MA_10429069g0010	AT4G18750
MA_10429113g0010	AT1G55620
MA_10429138g0010	AT5G67630
MA_10429177g0010	AT4G18780
MA_10429182g0020	AT1G52310
MA_10429195g0010	AT2G38120
MA_10429258g0010	AT4G24740
MA_10429279g0010	AT3G53260
MA_10429282g0010	AT4G03080
MA_10429295g0010	AT3G11710
MA_10429361g0010	AT2G13370
MA_10429365g0010	AT4G31590
MA_10429369g0010	AT3G07130
MA_10429371g0010	AT3G57430
MA_10429393g0010	AT4G31160
MA_10429431g0020	AT5G23540
MA_10429460g0010	AT1G32900
MA_10429479g0010	AT2G24130
MA_10429481g0030	AT4G30160
MA_10429487g0020	AT2G25790
MA_10429494g0010	AT5G47750
MA_10429514g0010	AT5G48940
MA_10429520g0010	AT2G46370
MA_10429527g0010	AT3G47000
MA_10429528g0010	AT2G16370
MA_10429532g0010	AT1G16900
MA_10429541g0010	AT1G17420
MA_10429580g0010	AT2G21410
MA_10429659g0010	AT4G10760
MA_10429662g0010	AT2G40540
MA_10429698g0010	AT5G65690
MA_10429708g0010	AT2G26250
MA_10429714g0010	AT1G29150
MA_10429774g0010	AT4G37640
MA_10429837g0010	AT1G11290
MA_10429847g0010	AT2G25520
MA_10429855g0010	AT5G04770
MA_10429857g0010	AT2G26990
MA_10429910g0010	AT5G48460
MA_10429946g0010	AT4G10440
MA_10429951g0010	AT5G26710
MA_10429975g0010	AT2G44660
MA_10430013g0010	AT4G29840
MA_10430083g0010	AT1G15750
MA_10430145g0030	AT4G13710
MA_10430230g0030	AT4G10710
MA_10430235g0010	AT1G27320
MA_10430268g0010	AT5G18840
MA_10430271g0040	AT4G37870
MA_10430272g0020	AT4G33950
MA_10430339g0010	AT3G12110
MA_10430359g0040	AT3G57410
MA_10430383g0010	AT1G23010
MA_10430387g0010	AT1G58290
MA_10430406g0010	AT5G37830
MA_10430417g0010	AT5G56890
MA_10430429g0010	AT1G10430
MA_10430467g0010	AT3G19300
MA_10430496g0010	AT1G02260
MA_10430509g0010	AT3G19050
MA_10430511g0010	AT3G53810
MA_10430514g0010	AT5G10630
MA_10430515g0010	AT1G20510
MA_10430521g0010	AT3G43860
MA_10430528g0010	AT5G45820
MA_10430553g0010	AT4G19120
MA_10430569g0010	AT3G27060
MA_10430596g0010	AT3G55200
MA_10430611g0010	AT5G03650
MA_10430649g0010	AT5G65950
MA_10430687g0010	AT1G17720
MA_10430720g0020	AT1G20560
MA_10430733g0010	AT1G79930
MA_10430753g0010	AT3G19840
MA_10430779g0010	AT5G07270
MA_10430788g0010	AT4G33950
MA_10430807g0030	AT4G02280
MA_10430810g0010	AT3G05390
MA_10430821g0010	AT1G01220
MA_10430830g0020	AT1G25280
MA_10430833g0010	AT5G18610
MA_10430844g0010	AT1G75660
MA_10430853g0010	AT1G42540
MA_10430859g0010	AT1G15960
MA_10430886g0020	AT4G11240
MA_10430892g0010	AT1G80460
MA_10430906g0010	AT1G03000
MA_10430909g0010	AT1G67930
MA_10430934g0010	AT4G20430
MA_10430946g0010	AT5G24080
MA_10430964g0010	AT1G73450
MA_10430965g0010	AT4G29210
MA_10430999g0010	AT2G01970
MA_10431009g0010	AT3G47520
MA_10431031g0010	AT4G24190
MA_10431043g0010	AT1G23800
MA_10431083g0010	AT1G78570
MA_10431085g0010	AT2G38960
MA_10431089g0010	AT3G44820
MA_10431097g0010	AT1G60500
MA_10431227g0020	AT3G57430
MA_10431251g0010	AT5G12250
MA_10431292g0020	AT4G12400
MA_10431297g0020	AT1G20380
MA_10431360g0010	AT3G61130
MA_10431376g0010	AT4G20090
MA_10431395g0010	AT4G29040
MA_10431440g0010	AT3G02210
MA_10431466g0010	AT5G27120
MA_10431508g0010	AT4G02750
MA_10431509g0010	AT1G79620
MA_10431517g0010	AT4G31480
MA_10431527g0020	AT5G62710
MA_10431553g0010	AT1G02060
MA_10431583g0020	AT1G78240
MA_10431591g0010	AT2G01820
MA_10431660g0010	AT2G43710
MA_10431670g0010	AT5G39840
MA_10431698g0010	AT1G30360
MA_10431728g0010	AT5G51280
MA_10431741g0020	AT3G28180
MA_10431763g0010	AT2G31170
MA_10431764g0010	AT5G41460
MA_10431770g0010	AT2G04030
MA_10431808g0010	AT3G25840
MA_10431815g0020	AT3G28860
MA_10431856g0010	AT5G65700
MA_10431892g0020	AT3G42660
MA_10431915g0010	AT2G21470
MA_10431918g0010	AT1G70710
MA_10431946g0010	AT1G69850
MA_10431946g0030	AT2G30070
MA_10432010g0030	AT4G25360
MA_10432035g0010	AT3G23920
MA_10432047g0010	AT5G18610
MA_10432052g0010	AT2G14740
MA_10432065g0010	AT2G26650
MA_10432072g0010	AT3G23070
MA_10432093g0010	AT5G48150
MA_10432094g0010	AT4G02280
MA_10432100g0020	AT1G57820
MA_10432111g0020	AT5G40780
MA_10432139g0010	AT1G07230
MA_10432169g0010	AT2G47000
MA_10432190g0020	AT4G22010
MA_10432198g0010	AT1G80530
MA_10432206g0010	AT5G19820
MA_10432215g0010	AT5G06550
MA_10432226g0010	AT2G01980
MA_10432244g0010	AT5G62670
MA_10432248g0010	AT1G28060
MA_10432251g0010	AT4G00490
MA_10432271g0010	AT5G35980
MA_10432302g0010	AT1G60710
MA_10432319g0010	AT5G64600
MA_10432357g0010	AT1G05910
MA_10432359g0010	AT5G54380
MA_10432359g0020	AT5G54380
MA_10432399g0010	AT1G31930
MA_10432413g0020	AT5G54510
MA_10432422g0010	AT1G23010
MA_10432431g0010	AT1G14650
MA_10432434g0010	AT1G06800
MA_10432494g0010	AT1G68020
MA_10432502g0010	AT1G28440
MA_10432509g0010	AT3G10330
MA_10432535g0010	AT1G54270
MA_10432549g0010	AT1G51980
MA_10432555g0010	AT1G11680
MA_10432580g0010	AT5G62000
MA_10432589g0010	AT1G71040
MA_10432590g0010	AT2G26990
MA_10432606g0010	AT3G17630
MA_10432630g0020	AT3G23920
MA_10432659g0010	AT5G22330
MA_10432667g0020	AT1G26830
MA_10432670g0010	AT3G02010
MA_10432670g0020	AT3G02010
MA_10432693g0010	AT1G77120
MA_10432707g0010	AT3G06480
MA_10432708g0010	AT3G51895
MA_10432714g0010	AT3G30390
MA_10432715g0010	AT5G05390
MA_10432758g0010	AT1G43170
MA_10432761g0010	AT4G23850
MA_10432781g0010	AT5G01240
MA_10432791g0010	AT2G27680
MA_10432793g0010	AT5G20480
MA_10432886g0010	AT2G37360
MA_10432894g0010	AT1G09970
MA_10432915g0010	AT1G10580
MA_10432922g0010	AT3G28345
MA_10432938g0020	AT2G40550
MA_10432961g0010	AT5G60020
MA_10432967g0010	AT1G12570
MA_10433000g0020	AT1G69740
MA_10433013g0010	AT5G13530
MA_10433022g0010	AT5G38530
MA_10433033g0020	AT2G31900
MA_10433050g0010	AT2G01210
MA_10433052g0010	AT1G76690
MA_10433089g0010	AT5G40820
MA_10433105g0010	AT5G64420
MA_10433141g0010	AT2G32950
MA_10433254g0020	AT4G21120
MA_10433285g0010	AT3G12940
MA_10433300g0010	AT2G19170
MA_10433317g0020	AT4G34100
MA_10433321g0010	AT1G68410
MA_10433341g0010	AT2G38290
MA_10433346g0010	AT4G02010
MA_10433352g0010	AT4G24520
MA_10433391g0010	AT3G03380
MA_10433391g0020	AT3G03380
MA_10433402g0010	AT1G51965
MA_10433454g0020	AT4G13940
MA_10433482g0010	AT3G55320
MA_10433485g0010	AT1G75450
MA_10433492g0010	AT1G72330
MA_10433501g0010	AT5G04040
MA_10433543g0010	AT4G13650
MA_10433607g0010	AT5G11560
MA_10433608g0010	AT5G02100
MA_10433629g0010	AT5G45650
MA_10433644g0010	AT1G59610
MA_10433658g0020	AT3G10600
MA_10433688g0010	AT4G21750
MA_10433716g0020	AT3G53380
MA_10433727g0010	AT5G51050
MA_10433746g0010	AT5G49160
MA_10433757g0010	AT2G42010
MA_10433772g0010	AT5G50230
MA_10433789g0010	AT1G29880
MA_10433793g0030	AT3G19190
MA_10433801g0010	AT5G13530
MA_10433809g0010	AT4G38220
MA_10433855g0010	AT2G39730
MA_10433885g0020	AT5G34940
MA_10433963g0010	AT2G43710
MA_10433965g0010	AT5G24260
MA_10433998g0010	AT1G65730
MA_104339g0010	AT4G23820
MA_10434007g0010	AT2G31660
MA_10434030g0010	AT5G52640
MA_10434046g0010	AT4G38640
MA_10434077g0010	AT1G56110
MA_10434084g0010	AT5G03260
MA_10434090g0010	AT5G05390
MA_10434126g0020	AT1G80680
MA_10434131g0010	AT4G16600
MA_10434151g0010	AT4G23460
MA_10434172g0010	AT5G27030
MA_10434186g0010	AT1G08620
MA_10434187g0020	AT1G73600
MA_10434198g0010	AT1G02850
MA_10434215g0010	AT1G13980
MA_10434222g0010	AT5G05130
MA_10434265g0020	AT4G33270
MA_10434286g0010	AT5G15050
MA_10434287g0020	AT2G24270
MA_10434292g0010	AT2G39840
MA_10434301g0010	AT3G52820
MA_10434310g0010	AT5G13680
MA_10434313g0010	AT3G60750
MA_10434335g0020	AT1G65880
MA_10434336g0010	AT5G45820
MA_10434355g0010	AT5G07120
MA_10434361g0010	AT1G67680
MA_10434376g0010	AT3G03380
MA_10434409g0010	AT3G57610
MA_10434417g0010	AT1G80260
MA_10434428g0010	AT4G30110
MA_10434448g0010	AT3G14440
MA_10434449g0010	AT3G62310
MA_10434456g0010	AT5G43360
MA_10434458g0010	AT1G05200
MA_10434460g0020	AT2G44500
MA_10434474g0010	AT5G45820
MA_10434498g0010	AT3G53810
MA_10434513g0010	AT3G26380
MA_10434535g0010	AT1G22620
MA_10434551g0010	AT1G24764
MA_10434586g0010	AT2G41500
MA_10434618g0010	AT5G64300
MA_10434669g0010	AT1G29800
MA_10434670g0010	AT4G30950
MA_10434683g0010	AT3G17630
MA_10434685g0010	AT3G19980
MA_10434688g0010	AT1G58230
MA_10434717g0010	AT1G04120
MA_10434753g0010	AT1G49380
MA_10434772g0010	AT5G54510
MA_10434795g0020	AT3G03380
MA_10434819g0010	AT5G13930
MA_10434824g0010	AT2G25320
MA_10434864g0010	AT5G05390
MA_10434897g0010	AT2G29630
MA_10434906g0020	AT4G01870
MA_10434923g0010	AT3G18090
MA_10434928g0010	AT1G74260
MA_10434950g0020	AT5G20480
MA_10434957g0010	AT2G36910
MA_10434959g0010	AT5G20890
MA_10434974g0010	AT5G37510
MA_10434986g0010	AT4G08350
MA_10434996g0010	AT3G10960
MA_10435041g0020	AT5G07280
MA_10435047g0010	AT5G57800
MA_10435080g0010	AT1G76990
MA_10435124g0010	AT2G42120
MA_10435131g0010	AT3G49500
MA_10435151g0010	AT3G04470
MA_10435166g0010	AT1G19170
MA_10435180g0010	AT4G37030
MA_10435197g0020	AT2G14740
MA_10435218g0010	AT1G55270
MA_10435221g0010	AT5G63910
MA_10435227g0010	AT4G02900
MA_10435304g0010	AT3G51240
MA_10435320g0020	AT1G07990
MA_10435321g0020	AT5G57480
MA_10435382g0010	AT2G21790
MA_10435403g0010	AT4G39850
MA_10435467g0010	AT5G67030
MA_10435479g0040	AT1G53050
MA_10435520g0010	AT5G14720
MA_10435530g0010	AT2G18790
MA_10435536g0010	AT2G30490
MA_10435556g0010	AT1G53750
MA_10435560g0010	AT3G12280
MA_10435561g0010	AT1G30510
MA_10435574g0010	AT4G33410
MA_10435597g0010	AT1G24510
MA_10435604g0010	AT5G60020
MA_10435618g0010	AT5G67030
MA_10435641g0010	AT4G02750
MA_10435694g0010	AT5G13700
MA_10435708g0010	AT4G15415
MA_10435726g0020	AT2G19130
MA_10435740g0010	AT3G18390
MA_10435759g0010	AT4G04920
MA_10435769g0010	AT5G67360
MA_10435773g0010	AT5G06050
MA_10435775g0010	AT3G17390
MA_10435791g0010	AT2G38280
MA_10435805g0010	AT3G14930
MA_10435806g0020	AT1G17840
MA_10435811g0010	AT3G03380
MA_10435811g0030	AT3G03380
MA_10435834g0010	AT3G27320
MA_10435837g0010	AT1G48840
MA_10435839g0010	AT1G14790
MA_10435847g0020	AT2G26870
MA_10435847g0030	AT1G07230
MA_10435870g0010	AT5G19420
MA_10435875g0010	AT2G07560
MA_10435875g0020	AT4G30190
MA_10435876g0010	AT1G79620
MA_10435887g0040	AT1G65930
MA_10435902g0010	AT3G22980
MA_10435905g0030	AT4G34200
MA_10435906g0020	AT4G16310
MA_10435913g0010	AT5G27730
MA_10435921g0010	AT5G35200
MA_10435926g0010	AT1G64060
MA_10435932g0010	AT3G63520
MA_10435934g0010	AT1G61560
MA_10435961g0030	AT2G05990
MA_10435974g0010	AT3G10370
MA_10436012g0010	AT2G40930
MA_10436033g0010	AT2G32120
MA_10436040g0010	AT3G19760
MA_10436040g0020	AT3G19760
MA_10436068g0010	AT1G04410
MA_10436072g0030	AT5G16370
MA_10436074g0010	AT3G23590
MA_10436080g0010	AT3G06350
MA_10436088g0010	AT1G11390
MA_10436098g0040	AT1G19450
MA_10436100g0010	AT1G55020
MA_10436102g0010	AT3G57630
MA_10436162g0020	AT1G75220
MA_10436163g0010	AT5G52520
MA_10436171g0010	AT5G08500
MA_10436172g0010	AT5G48300
MA_10436176g0010	AT1G55090
MA_10436188g0010	AT1G21640
MA_10436194g0030	AT3G23590
MA_10436194g0040	AT3G23590
MA_10436217g0010	AT2G01830
MA_10436249g0010	AT5G22620
MA_10436254g0020	AT3G23670
MA_10436273g0010	AT4G11130
MA_10436275g0010	AT4G05190
MA_10436278g0010	AT3G01060
MA_10436282g0010	AT3G02090
MA_10436294g0010	AT1G20560
MA_10436309g0010	AT4G13940
MA_10436324g0010	AT3G23990
MA_10436331g0040	AT2G30110
MA_10436350g0010	AT1G34420
MA_10436386g0010	AT2G41740
MA_10436401g0020	AT3G02050
MA_10436421g0010	AT5G23110
MA_10436427g0010	AT1G17210
MA_10436445g0020	AT1G80490
MA_10436457g0010	AT1G50840
MA_10436458g0010	AT4G36790
MA_10436461g0010	AT1G06820
MA_10436480g0020	AT1G09780
MA_10436489g0010	AT4G37510
MA_10436492g0010	AT5G67630
MA_10436502g0010	AT3G48770
MA_10436521g0010	AT5G49830
MA_10436537g0010	AT1G10930
MA_10436538g0010	AT1G08620
MA_10436544g0020	AT3G12580
MA_10436551g0010	AT5G13640
MA_10436565g0010	AT1G49760
MA_10436568g0020	AT1G78060
MA_10436572g0010	AT4G01020
MA_10436573g0010	AT3G25560
MA_10436580g0020	AT3G20500
MA_10436582g0010	AT3G15730
MA_10436589g0010	AT2G01630
MA_10436610g0010	AT1G26460
MA_10436629g0010	AT3G57610
MA_10436679g0010	AT2G26140
MA_10436687g0010	AT1G55850
MA_10436702g0010	AT1G05940
MA_10436706g0010	AT1G35220
MA_10436707g0010	AT1G68560
MA_10436713g0010	AT5G21105
MA_10436764g0010	AT4G13650
MA_10436771g0010	AT1G74030
MA_10436772g0010	AT2G28000
MA_10436774g0010	AT1G17840
MA_10436776g0010	AT5G03555
MA_10436779g0010	AT4G13780
MA_10436782g0010	AT1G56120
MA_10436789g0010	AT2G01320
MA_10436810g0020	AT3G28345
MA_10436831g0010	AT3G25690
MA_10436840g0020	AT2G19130
MA_10436877g0010	AT5G65930
MA_10436888g0010	AT4G34860
MA_10436955g0010	AT4G31390
MA_10436965g0010	AT1G26810
MA_10436980g0010	AT5G16210
MA_10436985g0010	AT5G49160
MA_10436994g0010	AT5G10240
MA_10436994g0030	AT2G26650
MA_10436994g0040	AT2G26650
MA_10437002g0020	AT3G16340
MA_10437018g0010	AT4G01370
MA_10437020g0010	AT2G43790
MA_10437026g0010	AT3G55610
MA_10437027g0010	AT5G64840
MA_10437038g0010	AT5G20950
MA_10437059g0020	AT3G47570
MA_10437060g0010	AT5G67360
MA_10437060g0020	AT5G67360
MA_10437061g0010	AT2G43710
MA_10437077g0010	AT5G02250
MA_10437078g0010	AT4G39660
MA_10437082g0020	AT5G28740
MA_10437096g0010	AT3G14120
MA_10437098g0010	AT4G11050
MA_10437101g0010	AT5G12180
MA_10437110g0020	AT2G19440
MA_10437125g0010	AT3G06980
MA_10437127g0010	AT3G09920
MA_10437129g0010	AT3G46970
MA_10437148g0010	AT4G35090
MA_10437149g0010	AT5G18525
MA_10437150g0010	AT3G09090
MA_10437155g0010	AT1G02020
MA_10437170g0010	AT5G54440
MA_10437188g0010	AT1G59820
MA_10437192g0010	AT1G79620
MA_10437199g0010	AT1G04580
MA_10437216g0010	AT3G54450
MA_10437227g0020	AT4G13710
MA_10437236g0010	AT3G59040
MA_10437247g0010	AT4G17140
MA_10437258g0010	AT1G67550
MA_10437260g0010	AT5G18570
MA_10437264g0010	AT4G16155
MA_10437271g0010	AT4G21490
MA_10437275g0010	AT1G54310
MA_10437280g0010	AT3G53180
MA_104379g0010	AT5G06680
MA_104409g0010	AT1G43670
MA_104694g0010	AT3G19540
MA_104828g0010	AT1G77030
MA_104937g0010	AT2G03880
MA_10508g0010	AT3G01040
MA_105092g0010	AT4G34350
MA_105093g0010	AT4G11610
MA_105215g0010	AT5G51070
MA_105476g0010	AT1G66950
MA_10554g0010	AT5G47430
MA_105629g0010	AT3G49142
MA_105735g0010	AT2G27610
MA_10574g0010	AT5G09890
MA_105806g0010	AT1G01120
MA_105934g0010	AT2G22070
MA_10597g0010	AT4G09810
MA_106032g0010	AT5G18610
MA_10605g0020	AT1G68530
MA_106123g0010	AT1G11290
MA_106166g0010	AT5G40780
MA_106343g0010	AT2G39770
MA_1063600g0010	AT5G63930
MA_10648g0010	AT2G41820
MA_106573g0010	AT5G48930
MA_106581g0010	AT2G04160
MA_106654g0010	AT5G60920
MA_107084g0010	AT4G21120
